,train_loss,train_acc,val_acc,test_acc,num_feats,num_emb,random_acc,over_acc,short_acc,total_acc
0,0.8312948942184448,0.3,0.675,0.675,6097,512,0.6094,0.6094,0.6094,0.6094
1,0.782800555229187,0.675,0.325,0.325,5534,512,0.5533,0.5533,0.5533,0.5533
2,1.0842077732086182,0.325,0.675,0.675,5392,512,0.5392,0.5392,0.5392,0.5392
3,0.7937332391738892,0.675,0.675,0.675,5348,512,0.5347,0.5347,0.5347,0.5347
4,0.7099892497062683,0.675,0.675,0.675,5302,512,0.5302,0.5302,0.5302,0.5302
5,0.8236453533172607,0.675,0.675,0.675,5286,512,0.5286,0.5286,0.5286,0.5286
6,0.6422916650772095,0.675,0.675,0.925,5267,512,0.5267,0.5267,0.5267,0.5267
7,0.7647043466567993,0.7,0.825,0.8,5261,512,0.526,0.526,0.526,0.526
8,0.6703142523765564,0.875,0.925,0.9,5265,512,0.5265,0.5265,0.5265,0.5265
9,0.5442246198654175,0.9,0.825,0.75,5267,512,0.5267,0.5267,0.5267,0.5267
10,0.5069165825843811,0.85,0.925,0.925,5285,512,0.5285,0.5285,0.5285,0.5285
11,0.44379985332489014,0.9,0.875,0.875,5287,512,0.5287,0.5287,0.5287,0.5287
12,0.4460529386997223,0.825,0.95,0.95,5296,512,0.5295,0.5295,0.5295,0.5295
13,0.24448427557945251,0.975,1.0,1.0,5314,512,0.5314,0.5314,0.5314,0.5314
14,0.21327699720859528,1.0,1.0,1.0,5320,512,0.532,0.532,0.532,0.532
15,0.1629565954208374,1.0,1.0,0.975,5325,512,0.5325,0.5325,0.5325,0.5325
16,0.15215639770030975,1.0,1.0,1.0,5335,512,0.5335,0.5335,0.5335,0.5335
17,0.14188092947006226,1.0,1.0,1.0,5349,512,0.5349,0.5349,0.5349,0.5349
18,0.1430100053548813,1.0,1.0,1.0,5357,512,0.5357,0.5357,0.5357,0.5357
19,0.28628161549568176,0.925,1.0,1.0,5360,512,0.536,0.536,0.536,0.536
