,train_loss,train_acc,val_acc,test_acc,num_feats
161,0.05643310397863388,1.0,1.0,1.0,5686
162,0.05636078864336014,1.0,1.0,1.0,5677
163,0.05628896877169609,1.0,1.0,1.0,5665
164,0.056214362382888794,1.0,1.0,1.0,5653
165,0.056138813495635986,1.0,1.0,1.0,5644
166,0.05606983229517937,1.0,1.0,1.0,5624
167,0.05599059537053108,1.0,1.0,1.0,5612
168,0.05591663345694542,1.0,1.0,1.0,5605
169,0.05584278702735901,1.0,1.0,1.0,5598
170,0.0557684451341629,1.0,1.0,1.0,5590
171,0.05569487065076828,1.0,1.0,1.0,5582
172,0.055621255189180374,1.0,1.0,1.0,5568
173,0.0555473230779171,1.0,1.0,1.0,5562
174,0.055473536252975464,1.0,1.0,1.0,5547
175,0.05540160462260246,1.0,1.0,1.0,5535
176,0.055326737463474274,1.0,1.0,1.0,5526
177,0.05525282397866249,1.0,1.0,1.0,5518
178,0.055180903524160385,1.0,1.0,1.0,5511
179,0.05510725826025009,1.0,1.0,1.0,5496
180,0.05503242090344429,1.0,1.0,1.0,5491
181,0.0549602210521698,1.0,1.0,1.0,5475
182,0.054888732731342316,1.0,1.0,1.0,5467
183,0.054812557995319366,1.0,1.0,1.0,5456
184,0.05474001169204712,1.0,1.0,1.0,5443
185,0.05466558784246445,1.0,1.0,1.0,5436
186,0.054592739790678024,1.0,1.0,1.0,5416
187,0.05451933294534683,1.0,1.0,1.0,5405
188,0.05444757267832756,1.0,1.0,1.0,5396
189,0.05437416955828667,1.0,1.0,1.0,5387
190,0.05429995805025101,1.0,1.0,1.0,5382
191,0.05423063039779663,1.0,1.0,1.0,5375
192,0.05415474995970726,1.0,1.0,1.0,5363
193,0.054082565009593964,1.0,1.0,1.0,5353
194,0.05401143804192543,1.0,1.0,1.0,5343
195,0.05393623933196068,1.0,1.0,1.0,5336
196,0.053863558918237686,1.0,1.0,1.0,5329
197,0.05379309505224228,1.0,1.0,1.0,5320
198,0.05372170731425285,1.0,1.0,1.0,5312
199,0.05364568904042244,1.0,1.0,1.0,5301
